T,mean_C_a
0.450000,0.07223150
0.500000,0.07572861
0.550000,0.08649982
0.600000,0.13896240
0.650000,0.15450455
0.700000,0.26542326
0.750000,0.43958428
0.800000,0.44817439
0.850000,1.26888862
0.900000,1.51188732
0.950000,1.87906085
1.000000,1.87378605
1.050000,1.76252718
1.100000,1.76109326
1.150000,1.74407265
1.200000,1.72232282
1.250000,1.72983036
1.300000,1.70500814
1.350000,1.67329955
1.400000,1.62759256
1.450000,1.58071360
1.500000,1.56513544
1.550000,1.53226851
1.600000,1.44675567
1.650000,1.40192925
1.700000,1.40139130
1.750000,1.32055559
1.800000,1.34486413
1.850000,1.30719389
# t_peak,0.9742918746566557
# t_hat,0.720097468334557
# t_exact,0.8515283616124156
