model,seed,layer,C,C_a,wH_a,wOPs_a,wOPt_a,wT_a,wG_a,mean_H,std_H,op_up,op_down,mi1,decay,tc_mean,gzip_ratio
trained,pretrained,0,7.6e-05,0.003332,0.003391,1.000325,0.002178,0.998887,0.981341,0.999662,0.000475,0.33155,0.999704,0.039262,0.000583,0.624993,0.233262
trained,pretrained,3,0.000427,0.007684,0.006509,1.001035,0.203588,0.99893,0.981133,0.999353,0.000951,0.318965,0.999558,0.070932,0.034689,0.622988,0.232702
trained,pretrained,6,0.000343,0.006813,0.005217,1.001312,0.331753,0.998271,0.981283,0.99948,0.000633,0.327511,0.999583,0.075262,0.057777,0.647246,0.233105
trained,pretrained,9,0.00054,0.008706,0.006196,1.001702,0.434371,0.997083,0.981291,0.999383,0.000804,0.332533,0.999571,0.086553,0.072717,0.673503,0.233125
trained,pretrained,12,0.003016,0.032998,0.024595,1.015645,0.359407,0.994606,0.981021,0.997711,0.012446,0.344623,0.998232,0.096074,0.052647,0.704342,0.232402
random,0,6,0.002246,0.018499,0.014108,0.935522,0.467597,0.952657,0.98096,0.998602,0.001528,0.161361,0.998817,0.370362,0.050772,0.814023,0.23224
random,1,6,0.001797,0.014808,0.015823,0.454885,0.559008,0.94081,0.981104,0.998431,0.001449,0.047099,0.998411,0.34085,0.063318,0.825495,0.232624
random,2,6,0.000612,0.011902,0.011305,1.002575,0.116227,0.958808,0.981411,0.998878,0.001312,0.279988,0.999005,0.296972,0.011738,0.806908,0.233451
random,3,6,0.004689,0.033932,0.026808,0.764151,0.580849,0.958871,0.981428,0.997353,0.002177,0.095265,0.997683,0.365007,0.066493,0.806829,0.233496
random,4,6,0.000351,0.006738,0.005175,1.001337,0.37573,0.963518,0.981399,0.999484,0.000591,0.327544,0.999581,0.236452,0.04029,0.800716,0.233418
random,5,6,0.002351,0.017068,0.013583,0.889419,0.446999,0.958544,0.980942,0.998653,0.001373,0.133908,0.998203,0.21844,0.049537,0.807233,0.232194
random,6,6,0.001338,0.012157,0.011502,0.894243,0.243575,0.946583,0.98131,0.998859,0.00139,0.139735,0.999053,0.267961,0.025102,0.820215,0.233177
random,7,6,0.000856,0.012495,0.013172,0.995025,0.011482,0.960314,0.98143,0.998694,0.001469,0.243386,0.998971,0.303888,0.001154,0.805007,0.233503
random,8,6,0.00029,0.006039,0.005024,1.004573,0.263657,0.966018,0.981167,0.999499,0.000604,0.3268,0.999253,0.484824,0.027009,0.797103,0.232793
random,9,6,0.000545,0.007937,0.007028,0.994527,0.216838,0.950056,0.98132,0.9993,0.00077,0.243612,0.999028,0.219742,0.022603,0.816764,0.233203
random,10,6,0.000665,0.008523,0.008247,0.987507,0.115002,0.95528,0.981264,0.99918,0.000915,0.230075,0.999262,0.208539,0.011917,0.811107,0.233053
random,11,6,0.001084,0.009226,0.008262,0.943973,0.239925,0.960922,0.98149,0.999179,0.001031,0.17147,0.999325,0.249435,0.024819,0.804219,0.233665
random,12,6,0.00083,0.013387,0.009374,1.005133,0.505219,0.963509,0.981271,0.999069,0.001125,0.327165,0.999199,0.33852,0.055785,0.800729,0.233073
random,13,6,0.00075,0.011151,0.008322,1.004703,0.434155,0.949141,0.98115,0.999174,0.001317,0.270178,0.998633,0.334213,0.046635,0.817695,0.232747
random,14,6,0.000522,0.009488,0.007866,1.000623,0.295778,0.948204,0.981172,0.999219,0.001159,0.282488,0.999236,0.317803,0.030601,0.818633,0.232806
random,15,6,0.000247,0.00535,0.004033,1.006191,0.413216,0.952367,0.98132,0.999598,0.000571,0.331549,0.999117,0.236557,0.044838,0.814336,0.233203
random,16,6,0.000498,0.008322,0.007389,0.996677,0.202889,0.95657,0.981521,0.999265,0.000917,0.267513,0.999387,0.261818,0.020801,0.809609,0.23375
random,17,6,0.000508,0.008391,0.005516,1.00855,0.622241,0.950948,0.980947,0.999451,0.000877,0.321276,0.998821,0.623782,0.072976,0.81584,0.232207
random,18,6,0.000474,0.007168,0.004652,1.001265,0.636301,0.959064,0.981057,0.999536,0.000615,0.322387,0.999557,0.268026,0.076209,0.806589,0.2325
random,19,6,0.000126,0.004505,0.004854,0.999074,0.0,0.946664,0.981339,0.999517,0.000692,0.295502,0.999552,0.296061,0.0,0.820137,0.233255
